x y
50 4.395555555555555
100 4.533333333333333
150 4.964444444444444
200 5.08
250 3.8533333333333335
300 6.248888888888889
350 6.586666666666667
400 6.848888888888889
450 7.075555555555556
500 7.626666666666667
550 7.848888888888889
600 8.044444444444444
650 8.417777777777777
700 8.862222222222222
750 8.964444444444444
800 8.84
850 9.244444444444444
900 9.671111111111111
950 10.12
1000 10.04
1050 10.084444444444445
1100 10.488888888888889
1150 10.72
1200 11.671111111111111
1250 11.644444444444444
1300 11.95111111111111
1350 11.786666666666667
1400 12.217777777777778
1450 12.595555555555556
1500 13.004444444444445
1550 13.04
1600 13.302222222222222
1650 13.426666666666666
1700 13.688888888888888
1750 14.244444444444444
1800 14.408888888888889
1850 14.72888888888889
1900 14.96888888888889
1950 15.106666666666667
2000 15.684444444444445
