x y
50 4.373333333333334
100 4.68
150 5.408888888888889
200 6.0
250 5.0488888888888885
300 7.6
350 8.088888888888889
400 8.666666666666666
450 9.244444444444444
500 9.657777777777778
550 10.395555555555555
600 10.826666666666666
650 11.382222222222222
700 11.875555555555556
750 12.733333333333333
800 13.08
850 13.515555555555556
900 14.097777777777777
950 14.497777777777777
1000 15.222222222222221
1050 15.284444444444444
1100 16.502222222222223
1150 16.386666666666667
1200 17.142222222222223
1250 17.555555555555557
1300 18.613333333333333
1350 18.426666666666666
1400 19.213333333333335
1450 19.586666666666666
1500 20.182222222222222
1550 20.733333333333334
1600 20.986666666666668
1650 21.826666666666668
1700 22.133333333333333
1750 22.835555555555555
1800 23.315555555555555
1850 23.884444444444444
1900 24.204444444444444
1950 24.893333333333334
2000 25.128888888888888
