x y
50 4.137777777777778
100 4.306666666666667
150 4.4222222222222225
200 5.075555555555556
250 3.937777777777778
300 5.88
350 6.137777777777778
400 6.657777777777778
450 6.8133333333333335
500 7.12
550 7.613333333333333
600 7.777777777777778
650 8.328888888888889
700 8.36888888888889
750 8.777777777777779
800 9.044444444444444
850 9.595555555555556
900 9.528888888888888
950 10.168888888888889
1000 10.36888888888889
1050 10.36888888888889
1100 10.56
1150 10.622222222222222
1200 11.03111111111111
1250 11.124444444444444
1300 11.386666666666667
1350 11.937777777777777
1400 12.213333333333333
1450 12.906666666666666
1500 12.591111111111111
1550 12.986666666666666
1600 13.151111111111112
1650 13.36
1700 13.471111111111112
1750 13.844444444444445
1800 14.635555555555555
1850 14.462222222222222
1900 14.746666666666666
1950 15.017777777777777
2000 15.528888888888888
