x y
50 4.297777777777778
100 4.648888888888889
150 5.497777777777777
200 5.875555555555556
250 4.888888888888889
300 7.657777777777778
350 8.102222222222222
400 8.773333333333333
450 9.346666666666666
500 10.062222222222223
550 10.351111111111111
600 10.96888888888889
650 11.466666666666667
700 11.88888888888889
750 12.617777777777778
800 13.071111111111112
850 13.382222222222222
900 13.817777777777778
950 14.533333333333333
1000 15.346666666666666
1050 15.302222222222222
1100 15.911111111111111
1150 16.6
1200 16.786666666666665
1250 17.395555555555557
1300 18.191111111111113
1350 18.288888888888888
1400 19.142222222222223
1450 19.702222222222222
1500 20.044444444444444
1550 20.30666666666667
1600 20.857777777777777
1650 21.586666666666666
1700 22.124444444444446
1750 22.88
1800 23.404444444444444
1850 23.595555555555556
1900 24.16
1950 24.564444444444444
2000 25.27111111111111
